combination,K,silhouette_score
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,2,0.2884100377559662
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,3,0.20218338072299957
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,4,0.1569739133119583
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,5,0.1732552945613861
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,6,0.15781961381435394
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,7,0.13401882350444794
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,8,0.14532412588596344
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,9,0.13775743544101715
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,10,0.1425623744726181
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,11,0.1394921988248825
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,12,0.13860908150672913
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,13,0.13509193062782288
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,14,0.13682197034358978
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,15,0.1379503309726715
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,16,0.1373271644115448
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,17,0.13586588203907013
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,18,0.13665083050727844
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,19,0.13825561106204987
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,20,0.14307613670825958
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,21,0.13436466455459595
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,22,0.13068990409374237
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,23,0.13635653257369995
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,24,0.14341263473033905
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,25,0.1450909674167633
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,26,0.1410173773765564
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,27,0.14324907958507538
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,28,0.14479562640190125
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,29,0.14817477762699127
ADVENT-MUSC_PROP-VALSET2_WNS-VALSET4_CHA_FULL,30,0.1488531231880188
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,2,0.15566778182983398
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,3,0.15191160142421722
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,4,0.17351584136486053
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,5,0.17067228257656097
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,6,0.1718658208847046
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,7,0.17992505431175232
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,8,0.18117250502109528
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,9,0.13688457012176514
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,10,0.1416553407907486
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,11,0.1424017995595932
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,12,0.15744562447071075
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,13,0.1824912130832672
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,14,0.15436865389347076
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,15,0.15940795838832855
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,16,0.16141368448734283
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,17,0.15590012073516846
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,18,0.16138149797916412
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,19,0.15315991640090942
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,20,0.1538773775100708
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,21,0.15858648717403412
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,22,0.15734215080738068
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,23,0.14660219848155975
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,24,0.16295857727527618
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,25,0.16740329563617706
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,26,0.1447925567626953
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,27,0.1525406837463379
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,28,0.1633540391921997
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,29,0.16624219715595245
ADVENT-REGR_TU-VALSET1_UKK-VALSET2_WNS,30,0.15091979503631592
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,2,0.18192943930625916
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,3,0.21427997946739197
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,4,0.17017754912376404
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,5,0.16630437970161438
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,6,0.18041595816612244
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,7,0.17154444754123688
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,8,0.16843737661838531
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,9,0.1653047651052475
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,10,0.16559766232967377
ADVENT-REGR_TU-VALSET1_UKK-VALSET4_CHA_FULL,11,0.16325755417346954
