combination,K,silhouette_score
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,27,0.2498129904270172
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,28,0.26664790511131287
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,29,0.2563072741031647
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,30,0.26755666732788086
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,2,0.17496100068092346
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,3,0.16426770389080048
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,4,0.16316081583499908
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,5,0.142671138048172
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,6,0.15534482896327972
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,7,0.16311009228229523
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,8,0.16636022925376892
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,9,0.169819176197052
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,10,0.18241792917251587
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,11,0.19457316398620605
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,12,0.18465226888656616
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,13,0.19460059702396393
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,14,0.19278466701507568
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,15,0.20272204279899597
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,16,0.19464795291423798
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,17,0.21407462656497955
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,18,0.2123594880104065
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,19,0.2065976858139038
