combination,trial,ari_bio,ari_mc,clustering_score
tumor-normal-UMCU-RUMC,0,0.1690584929824364,0.17353001368713053,-0.004471520704694143
tumor-normal-UMCU-RUMC,1,0.18421702409379756,0.14735840954331383,0.036858614550483726
tumor-normal-UMCU-RUMC,2,0.17554567660918044,0.16649307747729675,0.009052599131883693
tumor-normal-UMCU-RUMC,3,0.1759453635425252,0.17670370485305217,-0.000758341310526961
tumor-normal-UMCU-RUMC,4,0.17762834372888928,0.16837465887718508,0.009253684851704191
tumor-normal-UMCU-RUMC,5,0.1931253470375803,0.18130204766272848,0.011823299374851826
tumor-normal-UMCU-RUMC,6,0.16865589462259403,0.1765019654701859,-0.007846070847591868
tumor-normal-UMCU-RUMC,7,0.17677639903122866,0.1778954058470863,-0.0011190068158576372
tumor-normal-UMCU-RUMC,8,0.17020982488300873,0.17100368572670824,-0.0007938608436995065
tumor-normal-UMCU-RUMC,9,0.17294017946753906,0.17392712734542387,-0.0009869478778848084
tumor-normal-UMCU-RUMC,10,0.17016670007326598,0.17067743228764817,-0.0005107322143821924
tumor-normal-UMCU-RUMC,11,0.20556410258517652,0.20529398216961225,0.00027012041556426225
tumor-normal-UMCU-RUMC,12,0.16906468747135683,0.1553004249478895,0.013764262523467324
tumor-normal-UMCU-RUMC,13,0.16921658991591373,0.15410972258958597,0.015106867326327766
tumor-normal-UMCU-RUMC,14,0.18793878092383817,0.1943301534330349,-0.006391372509196719
tumor-normal-UMCU-RUMC,15,0.17023795918159212,0.17039453037413949,-0.00015657119254736118
tumor-normal-UMCU-RUMC,16,0.18148274105428044,0.1680982028670511,0.013384538187229345
tumor-normal-UMCU-RUMC,17,0.16937679003683748,0.16987751773314727,-0.000500727696309794
tumor-normal-UMCU-RUMC,18,0.1819470269130692,0.1709495666391026,0.010997460273966586
tumor-normal-UMCU-RUMC,19,0.18047885436409208,0.18599334672675563,-0.005514492362663548
tumor-normal-UMCU-RUMC,20,0.17007407650330436,0.1711690744730037,-0.001094997969699335
tumor-normal-UMCU-RUMC,21,0.17885724876691686,0.17953605587268676,-0.0006788071057698963
tumor-normal-UMCU-RUMC,22,0.15337496759034056,0.16468862957876243,-0.011313661988421875
tumor-normal-UMCU-RUMC,23,0.17930679189846596,0.17416396731185269,0.005142824586613276
tumor-normal-UMCU-RUMC,24,0.18597580286199705,0.18677566317866817,-0.0007998603166711193
tumor-normal-UMCU-RUMC,25,0.20809659823360538,0.1962503265716204,0.011846271661984986
tumor-normal-UMCU-RUMC,26,0.18141164758454237,0.16886348193792175,0.012548165646620618
tumor-normal-UMCU-RUMC,27,0.19717208903272362,0.20284712256977627,-0.005675033537052648
tumor-normal-UMCU-RUMC,28,0.20156873357559027,0.20352010612665405,-0.0019513725510637847
tumor-normal-UMCU-RUMC,29,0.16834081998917488,0.16092244663554325,0.00741837335363163
tumor-normal-UMCU-RUMC,30,0.17094800178998848,0.1575459114439557,0.013402090346032791
tumor-normal-UMCU-RUMC,31,0.18842314158739495,0.17750623706703256,0.010916904520362397
tumor-normal-UMCU-RUMC,32,0.19283921293473205,0.18195483431889767,0.010884378615834384
tumor-normal-UMCU-RUMC,33,0.18265758212669286,0.2055173022622611,-0.022859720135568223
tumor-normal-UMCU-RUMC,34,0.17936488608473156,0.17673569709268835,0.002629188992043202
tumor-normal-UMCU-RUMC,35,0.1752523131958781,0.1634459638302074,0.01180634936567071
tumor-normal-UMCU-RUMC,36,0.2078308394231984,0.20752820469523495,0.00030263472796346336
tumor-normal-UMCU-RUMC,37,0.1821522035104137,0.17023633022181642,0.011915873288597278
tumor-normal-UMCU-RUMC,38,0.17986387389010264,0.1645724682421761,0.015291405647926526
tumor-normal-UMCU-RUMC,39,0.1860033219758078,0.1864710326636835,-0.0004677106878757109
tumor-normal-UMCU-RUMC,40,0.19241094592990252,0.1821338321855754,0.010277113744327104
tumor-normal-UMCU-RUMC,41,0.16920002937139592,0.1700864294363951,-0.0008864000649991821
tumor-normal-UMCU-RUMC,42,0.17906790307535614,0.1733843338554823,0.005683569219873841
tumor-normal-UMCU-RUMC,43,0.15561688269835927,0.16918206566822083,-0.013565182969861561
tumor-normal-UMCU-RUMC,44,0.17099203589717946,0.17195397301635623,-0.0009619371191767756
tumor-normal-UMCU-RUMC,45,0.18134717180105372,0.1713906769733325,0.009956494827721235
tumor-normal-UMCU-RUMC,46,0.17584378133886697,0.16874456861802153,0.0070992127208454325
tumor-normal-UMCU-RUMC,47,0.17390380216211834,0.16132709766427009,0.012576704497848257
tumor-normal-UMCU-RUMC,48,0.1930629548736125,0.17687270089084173,0.01619025398277077
tumor-normal-UMCU-RUMC,49,0.20523526560090852,0.20511971406211216,0.00011555153879636015
